Date (GMT),Job Title,Job Location,Type,Title,Company,Company Profile,LANG,link
2023-02-23 17:27,Programmeur,Quebec,Logiciel,Developpeur Logiciel Junior,ALTEN Canada,https:--ca.linkedin.com-company-alten-canada?trk=public_jobs_topcard-org-name,,/textFiles/ALTEN Canada - Developpeur Logiciel Junior.txt
2023-02-23 17:33,Developpeur,Quebec,Logiciel,Developpeur Progress,Astek Canada,https:--ca.linkedin.com-company-astek-canada?trk=public_jobs_topcard-org-name,,/textFiles/Astek Canada - Developpeur Progress.txt
2023-02-23 17:33,Developpeur,Quebec,Web,Developpeur Web,ATECNA Montreal,https:--ca.linkedin.com-company-atecna-montreal?trk=public_jobs_topcard-org-name,,/textFiles/ATECNA Montreal - Developpeur Web.txt
2023-02-23 17:27,Programmeur,Quebec,Logiciel,Developpeur(se) - programmeur,Barrette Structural,https:--ca.linkedin.com-company-barrette-structural?trk=public_jobs_topcard-org-name,,/textFiles/Barrette Structural - Developpeur(se) - programmeur.txt
2023-02-23 17:12,Developpeur,Quebec,Web,Developpeur-Developpeuse Systeme,Busbud,https:--ca.linkedin.com-company-busbud?trk=public_jobs_topcard-org-name,,/textFiles/Busbud - Developpeur-Developpeuse Systeme.txt
2023-02-23 17:12,Developpeur,Quebec,Web,Developpeur Javascript (H-F),Extia,https:--fr.linkedin.com-company-extia?trk=public_jobs_topcard-org-name,,/textFiles/Extia - Developpeur Javascript (H-F).txt
2023-02-23 17:33,Developpeur,Quebec,Web,Web Developer - Developpeur Web,FlightHub,https:--ca.linkedin.com-company-flighthub?trk=public_jobs_topcard-org-name,,/textFiles/FlightHub - Web Developer - Developpeur Web.txt
2023-02-23 17:12,Developpeur,Quebec,Logiciel,Software Developer - Developpeur logiciel - Computer Vision,Genetec,https:--ca.linkedin.com-company-genetec?trk=public_jobs_topcard-org-name,,/textFiles/Genetec - Software Developer - Developpeur logiciel - Computer Vision.txt
2023-02-23 17:12,Developpeur,Quebec,Logiciel,Developpeur logiciel - Software Developer - C#-C++,Genetec,https:--ca.linkedin.com-company-genetec?trk=public_jobs_topcard-org-name,,/textFiles/Genetec - Developpeur logiciel - Software Developer - C#-C++.txt
2023-02-23 17:12,Developpeur,Quebec,Mobile,Mobile Developer - Developpeur Mobile,Genetec,https:--ca.linkedin.com-company-genetec?trk=public_jobs_topcard-org-name,,/textFiles/Genetec - Mobile Developer - Developpeur Mobile.txt
2023-02-23 17:12,Developpeur,Quebec,Logiciel,Software Developer - Developpeur logiciel - C#-.NET,Genetec,https:--ca.linkedin.com-company-genetec?trk=public_jobs_topcard-org-name,,/textFiles/Genetec - Software Developer - Developpeur logiciel - C#-.NET.txt
2023-02-23 17:12,Developpeur,Quebec,Logiciel,Software Developer - Developpeur logiciel - C#-C++,Genetec,https:--ca.linkedin.com-company-genetec?trk=public_jobs_topcard-org-name,,/textFiles/Genetec - Software Developer - Developpeur logiciel - C#-C++.txt
2023-02-23 17:12,Developpeur,Quebec,Logiciel,Software Developer - Developpeur logiciel - Cloud,Genetec,https:--ca.linkedin.com-company-genetec?trk=public_jobs_topcard-org-name,,/textFiles/Genetec - Software Developer - Developpeur logiciel - Cloud.txt
2023-02-23 17:12,Developpeur,Quebec,Logiciel,.NET Software Developer - Developpeur logiciel .NET,Genetec,https:--ca.linkedin.com-company-genetec?trk=public_jobs_topcard-org-name,,/textFiles/Genetec - .NET Software Developer - Developpeur logiciel .NET.txt
2023-02-23 17:12,Developpeur,Quebec,Logiciel,Software Developer - Developpeur logiciel - AutoVu,Genetec,https:--ca.linkedin.com-company-genetec?trk=public_jobs_topcard-org-name,,/textFiles/Genetec - Software Developer - Developpeur logiciel - AutoVu.txt
2023-02-23 17:12,Developpeur,Quebec,Logiciel,Software Developer - Developpeur logiciel - Access Control,Genetec,https:--ca.linkedin.com-company-genetec?trk=public_jobs_topcard-org-name,,/textFiles/Genetec - Software Developer - Developpeur logiciel - Access Control.txt
2023-02-23 17:12,Developpeur,Quebec,Logiciel,Developpeur logiciel - Software Developer - Edge Devices,Genetec,https:--ca.linkedin.com-company-genetec?trk=public_jobs_topcard-org-name,,/textFiles/Genetec - Developpeur logiciel - Software Developer - Edge Devices.txt
2023-02-23 17:12,Developpeur,Quebec,Logiciel,Software Developer - Developpeur logiciel - Cloud (AutoVu),Genetec,https:--ca.linkedin.com-company-genetec?trk=public_jobs_topcard-org-name,,/textFiles/Genetec - Software Developer - Developpeur logiciel - Cloud (AutoVu).txt
2023-02-23 17:33,Developpeur,Quebec,Web,Software Developer - Developpeur logiciel - C#-Web,Genetec,https:--ca.linkedin.com-company-genetec?trk=public_jobs_topcard-org-name,,/textFiles/Genetec - Software Developer - Developpeur logiciel - C#-Web.txt
2023-02-23 17:33,Developpeur,Quebec,Mobile,Mobile Developer - Developpeur Mobile,Genetec,https:--ca.linkedin.com-company-genetec?trk=public_jobs_topcard-org-name,,/textFiles/Genetec - Mobile Developer - Developpeur Mobile.txt
2023-02-23 17:33,Developpeur,Quebec,Logiciel,Software Developer - Developpeur logiciel - C#-.NET,Genetec,https:--ca.linkedin.com-company-genetec?trk=public_jobs_topcard-org-name,,/textFiles/Genetec - Software Developer - Developpeur logiciel - C#-.NET.txt
2023-02-23 17:33,Developpeur,Quebec,Logiciel,Developpeur logiciel - Software Developer - C#-C++,Genetec,https:--ca.linkedin.com-company-genetec?trk=public_jobs_topcard-org-name,,/textFiles/Genetec - Developpeur logiciel - Software Developer - C#-C++.txt
2023-02-23 17:33,Developpeur,Quebec,Logiciel,Software Developer - Developpeur logiciel - Cloud,Genetec,https:--ca.linkedin.com-company-genetec?trk=public_jobs_topcard-org-name,,/textFiles/Genetec - Software Developer - Developpeur logiciel - Cloud.txt
2023-02-23 17:33,Developpeur,Quebec,Logiciel,Software Developer - Developpeur logiciel - Computer Vision,Genetec,https:--ca.linkedin.com-company-genetec?trk=public_jobs_topcard-org-name,,/textFiles/Genetec - Software Developer - Developpeur logiciel - Computer Vision.txt
2023-02-23 17:33,Developpeur,Quebec,Logiciel,Software Developer - Developpeur logiciel - C#-C++,Genetec,https:--ca.linkedin.com-company-genetec?trk=public_jobs_topcard-org-name,,/textFiles/Genetec - Software Developer - Developpeur logiciel - C#-C++.txt
2023-02-23 17:33,Developpeur,Quebec,Logiciel,.NET Software Developer - Developpeur logiciel .NET,Genetec,https:--ca.linkedin.com-company-genetec?trk=public_jobs_topcard-org-name,,/textFiles/Genetec - .NET Software Developer - Developpeur logiciel .NET.txt
2023-02-23 17:33,Developpeur,Quebec,Logiciel,Software Developer - Developpeur logiciel - Access Control,Genetec,https:--ca.linkedin.com-company-genetec?trk=public_jobs_topcard-org-name,,/textFiles/Genetec - Software Developer - Developpeur logiciel - Access Control.txt
2023-02-23 17:33,Developpeur,Quebec,Logiciel,Software Developer - Developpeur logiciel - Edge OS Cloud,Genetec,https:--ca.linkedin.com-company-genetec?trk=public_jobs_topcard-org-name,,/textFiles/Genetec - Software Developer - Developpeur logiciel - Edge OS Cloud.txt
2023-02-23 17:33,Developpeur,Quebec,Web,Developpeur(euse) Full Stack,INGtech,https:--ca.linkedin.com-company-ingtech-inc?trk=public_jobs_topcard-org-name,,/textFiles/INGtech - Developpeur(euse) Full Stack.txt
2023-02-23 17:12,Developpeur,Quebec,Logiciel,Developpeur Intermediaire - Intermediate Developer,L'Atelier Animation Inc.,https:--ca.linkedin.com-company-latelieranimation?trk=public_jobs_topcard-org-name,,/textFiles/L'Atelier Animation Inc. - Developpeur Intermediaire - Intermediate Developer.txt
2023-02-23 17:12,Developpeur,Quebec,Web,Developpeur WEB Front-end,LEDUConseils,https:--ca.linkedin.com-company-leduconseils?trk=public_jobs_topcard-org-name,,/textFiles/LEDUConseils - Developpeur WEB Front-end.txt
2023-02-23 17:12,Developpeur,Quebec,Logiciel,Developpeur.euse Java,Levio,https:--ca.linkedin.com-company-levioconsulting?trk=public_jobs_topcard-org-name,,/textFiles/Levio - Developpeur.euse Java.txt
2023-02-23 17:12,Developpeur,Quebec,Python,Developpeur Python,Logient,https:--ca.linkedin.com-company-logient?trk=public_jobs_topcard-org-name,,/textFiles/Logient - Developpeur Python.txt
2023-02-23 17:33,Developpeur,Quebec,Logiciel,Developpeur embarque C++,Logient,https:--ca.linkedin.com-company-logient?trk=public_jobs_topcard-org-name,,/textFiles/Logient - Developpeur embarque C++.txt
2023-02-23 17:12,Developpeur,Quebec,Web,Developpeur,MECART - Cleanroom and Noise Control Solutions,https:--ca.linkedin.com-company-mecart-inc-?trk=public_jobs_topcard-org-name,,/textFiles/MECART - Cleanroom and Noise Control Solutions - Developpeur.txt
2023-02-23 17:12,Developpeur,Quebec,Web,Developpeur - PHP,MindGeek,https:--lu.linkedin.com-company-mindgeek?trk=public_jobs_topcard-org-name,,/textFiles/MindGeek - Developpeur - PHP.txt
2023-02-23 17:12,Developpeur,Quebec,Donnee,Developpeur de base de donnees (MySql + Vertica),MindGeek,https:--lu.linkedin.com-company-mindgeek?trk=public_jobs_topcard-org-name,,/textFiles/MindGeek - Developpeur de base de donnees (MySql + Vertica).txt
2023-02-23 17:12,Developpeur,Quebec,Logiciel,Developpeur de logiciels Java,MindGeek,https:--lu.linkedin.com-company-mindgeek?trk=public_jobs_topcard-org-name,,/textFiles/MindGeek - Developpeur de logiciels Java.txt
2023-02-23 17:12,Developpeur,Quebec,Web,PHP - Developpeur - Plateforme de Partage Video,MindGeek,https:--lu.linkedin.com-company-mindgeek?trk=public_jobs_topcard-org-name,,/textFiles/MindGeek - PHP - Developpeur - Plateforme de Partage Video.txt
2023-02-23 17:12,Developpeur,Quebec,Donnee,Developpeur Vertica,MindGeek,https:--lu.linkedin.com-company-mindgeek?trk=public_jobs_topcard-org-name,,/textFiles/MindGeek - Developpeur Vertica.txt
2023-02-23 17:12,Developpeur,Quebec,Web,Developpeur PHP - Plateforme de Partage Video,MindGeek,https:--lu.linkedin.com-company-mindgeek?trk=public_jobs_topcard-org-name,,/textFiles/MindGeek - Developpeur PHP - Plateforme de Partage Video.txt
2023-02-23 17:33,Developpeur,Quebec,Web,Developpeur - PHP,MindGeek,https:--lu.linkedin.com-company-mindgeek?trk=public_jobs_topcard-org-name,,/textFiles/MindGeek - Developpeur - PHP.txt
2023-02-23 17:33,Developpeur,Quebec,Donnee,Developpeur Vertica,MindGeek,https:--lu.linkedin.com-company-mindgeek?trk=public_jobs_topcard-org-name,,/textFiles/MindGeek - Developpeur Vertica.txt
2023-02-23 17:33,Developpeur,Quebec,Donnee,Developpeur de base de donnees (MySql + Vertica),MindGeek,https:--lu.linkedin.com-company-mindgeek?trk=public_jobs_topcard-org-name,,/textFiles/MindGeek - Developpeur de base de donnees (MySql + Vertica).txt
2023-02-23 17:33,Developpeur,Quebec,Web,PHP - Developpeur - Plateforme de Partage Video,MindGeek,https:--lu.linkedin.com-company-mindgeek?trk=public_jobs_topcard-org-name,,/textFiles/MindGeek - PHP - Developpeur - Plateforme de Partage Video.txt
2023-02-23 17:33,Developpeur,Quebec,Logiciel,Developpeur de logiciels Java,MindGeek,https:--lu.linkedin.com-company-mindgeek?trk=public_jobs_topcard-org-name,,/textFiles/MindGeek - Developpeur de logiciels Java.txt
2023-02-23 17:33,Developpeur,Quebec,Logiciel,Developpeur.euse Systeme,Moment Factory,https:--ca.linkedin.com-company-moment-factory?trk=public_jobs_topcard-org-name,,/textFiles/Moment Factory - Developpeur.euse Systeme.txt
2023-02-23 17:12,Developpeur,Quebec,Web,Developpeur Front-End - Front-End Software Developer,nesto,https:--ca.linkedin.com-company-nesto-ca?trk=public_jobs_topcard-org-name,,/textFiles/nesto - Developpeur Front-End - Front-End Software Developer.txt
2023-02-23 17:33,Developpeur,Quebec,Logiciel,Developpeur logiciel Backend,OPTEL Group,https:--ca.linkedin.com-company-optel-group?trk=public_jobs_topcard-org-name,,/textFiles/OPTEL Group - Developpeur logiciel Backend.txt
2023-02-23 17:33,Developpeur,Quebec,Web,Developpeur Web (Specialiste de Produit)- Web Developer (Product Specialist),Points (a Plusgrade company),https:--ca.linkedin.com-company-points?trk=public_jobs_topcard-org-name,,/textFiles/Points (a Plusgrade company) - Developpeur Web (Specialiste de Produit)- Web Developer (Product Specialist).txt
2023-02-23 17:12,Developpeur,Quebec,Web,Developpeur Web,Rum&Code,https:--ca.linkedin.com-company-rum&code?trk=public_jobs_topcard-org-name,,/textFiles/Rum&Code - Developpeur Web.txt
2023-02-23 17:33,Developpeur,Quebec,Web,Developpeur full stack,sourcevolution,https:--ca.linkedin.com-company-sourcevolution?trk=public_jobs_topcard-org-name,,/textFiles/sourcevolution - Developpeur full stack.txt
2023-02-23 17:12,Developpeur,Quebec,Donnee,Developpeur ORACLE,TEHORA inc.,https:--ca.linkedin.com-company-tehora?trk=public_jobs_topcard-org-name,,/textFiles/TEHORA inc. - Developpeur ORACLE.txt
2023-02-23 17:12,Developpeur,Quebec,Logiciel,Developpeur .Net- .Net developer,TEHORA inc.,https:--ca.linkedin.com-company-tehora?trk=public_jobs_topcard-org-name,,/textFiles/TEHORA inc. - Developpeur .Net- .Net developer.txt
2023-02-23 17:33,Developpeur,Quebec,Web,Developpeur APEX,TEHORA inc.,https:--ca.linkedin.com-company-tehora?trk=public_jobs_topcard-org-name,,/textFiles/TEHORA inc. - Developpeur APEX.txt
2023-02-23 17:33,Developpeur,Quebec,Logiciel,Developpeur .Net- .Net developer,TEHORA inc.,https:--ca.linkedin.com-company-tehora?trk=public_jobs_topcard-org-name,,/textFiles/TEHORA inc. - Developpeur .Net- .Net developer.txt
2023-02-23 17:12,Developpeur,Quebec,Logiciel,Developpeur .NET,Transition Services Conseils,https:--ca.linkedin.com-company-transition-services-conseils?trk=public_jobs_topcard-org-name,,/textFiles/Transition Services Conseils - Developpeur .NET.txt
2023-02-23 17:12,Developpeur,Quebec,Web,Developpeur Web,Unik Media,https:--ca.linkedin.com-company-unik-m%C3%A9dia?trk=public_jobs_topcard-org-name,,/textFiles/Unik Media - Developpeur Web.txt
2023-02-23 17:12,Developpeur,Quebec,Donnee,Developpeur Python,Vooban,https:--ca.linkedin.com-company-vooban?trk=public_jobs_topcard-org-name,,/textFiles/Vooban - Developpeur Python.txt
2023-02-23 17:12,Developpeur,Quebec,Web,Developpeur Montreal,Vooban,https:--ca.linkedin.com-company-vooban?trk=public_jobs_topcard-org-name,,/textFiles/Vooban - Developpeur Montreal.txt